# LOT 19 — PROPOSITIONS D'ALIAS, vérifiées une par une (2026-08-21)
#
# ⛔ RIEN N'EST APPLIQUÉ. Ce fichier est une proposition ; la migration s'écrit après revue.
# ⛔ AUCUNE VALEUR DE COMPOSITION N'EST PROPOSÉE. 86 noms, zéro kcal.
#
# Chaque ligne a passé cinq épreuves (scratchpad/2026-08-21-0111-LOT19-mesure/09-verifier-propositions.ts) :
#   ① la ligne visée existe dans food_composition_refs (son libellé est imprimé ci-dessous)
#   ② l'alias n'est pas déjà en base
#   ③ l'alias ne serait pas MORT : `bySlug` gagne sur `byAlias`, donc une forme qui est
#      aussi un slug ne se déclencherait jamais
#   ④ on sait ce que la chaîne atteint AUJOURD'HUI (colonne « aujourd'hui »)
#   ⑤ après ajout, la chaîne atteint bien la ligne visée
#
# ⚠️ `ciqual_code` vaut « (absent) » sur 689 des 923 lignes du référentiel : elles se déclarent
#    `source='ciqual'` sans porter de code. Pour celles-là, la vérification repose sur le
#    libellé, le groupe et l'énergie — pas sur une jointure avec la source.
#
# ⚠️ Les alias sont écrits SANS ACCENT, comme les 2 601 déjà en base : `buildCompositionIndex`
#    normalise de toute façon, mais deux conventions dans une même table finissent par diverger.
#
# Ordre : P1 les 15 lignes sans alias · P2 ce qui rate dans les plans réels ·
#         P3 le nom français des aliments réellement cuisinés · P3bis formes anglaises manquantes.
#
alias	slug	libellé CIQUAL	ciqual_code	groupe	kcal/100 g crus	aujourd'hui	raison
pain naan	naan_bread	Naan bread	(absent)	refined_grain	320	∅ rien	Le nom français du pain naan. « naan bread » atteint la ligne par son slug ; aucune forme française ne l'atteint.
naan	naan_bread	Naan bread	(absent)	refined_grain	320	∅ rien	Forme nue, écrite dans les deux langues. Rate aujourd'hui : le slug est `naan_bread`, la réduction ne coupe pas « bread ».
sauce piquante	hot_sauce	Hot sauce (chilli)	(absent)	sauce_dressing	45	∅ rien	Nom français usuel de la sauce piquante au piment. Le libellé « Hot sauce (chilli) » nomme exactement cet objet.
sauce pimentee	hot_sauce	Hot sauce (chilli)	(absent)	sauce_dressing	45	∅ rien	Seconde formulation française courante, même objet.
chilli sauce	hot_sauce	Hot sauce (chilli)	(absent)	sauce_dressing	45	∅ rien	Forme anglaise courante absente : seul « hot sauce » atteint la ligne.
graines melangees	mixed_seeds	Mixed seeds	(absent)	nuts_seeds	580	∅ rien	Traduction directe de « Mixed seeds ». Aucune forme française n'atteint la ligne.
melange de graines	mixed_seeds	Mixed seeds	(absent)	nuts_seeds	580	∅ rien	Seconde formulation française du même produit de rayon.
seed mix	mixed_seeds	Mixed seeds	(absent)	nuts_seeds	580	∅ rien	Forme anglaise courante absente.
graines de pavot	poppy_seeds	Poppy seeds	(absent)	nuts_seeds	525	∅ rien	Traduction directe de « Poppy seeds ». Aucune forme française.
curcuma	turmeric	Turmeric, ground	(absent)	sauce_dressing	312	∅ rien	Nom français du curcuma. « Turmeric, ground » est la même épice ; le corpus l'écrit 6 fois en anglais.
curcuma moulu	turmeric	Turmeric, ground	(absent)	sauce_dressing	312	∅ rien	Le libellé dit « ground » : la forme française qualifiée doit atteindre la même ligne.
puree de graines de tournesol	sunflower_seed_butter	Sunflower seed butter	(absent)	nuts_seeds	617	∅ rien	Nom français du produit ; « Sunflower seed butter » n'a aucune forme française.
beurre de graines de tournesol	sunflower_seed_butter	Sunflower seed butter	(absent)	nuts_seeds	617	∅ rien	Calque français courant sur les étiquettes, même produit.
pate de campagne	pate	Paté (average)	(absent)	red_meat	325	∅ rien	Le libellé est « Paté (average) » : la moyenne des pâtés couvre le pâté de campagne.
pate de foie	pate	Paté (average)	(absent)	red_meat	325	∅ rien	Même ligne de moyenne, autre formulation française courante.
liver pate	pate	Paté (average)	(absent)	red_meat	325	∅ rien	Forme anglaise courante absente : seul « pate » nu atteint la ligne.
loaf of bread	bread	Bread (average)	(absent)	refined_grain	276	∅ rien	« Bread (average) » est la ligne générique ; « loaf » n'y mène pas.
bread loaf	bread	Bread (average)	(absent)	refined_grain	276	∅ rien	Forme écrite telle quelle dans les listes de courses du corpus (« white bread loaf », « bread loaf »).
braised beef	beef_braising	Braising beef	(absent)	red_meat	144	∅ rien	11 occurrences. La ligne « Braising beef » est exactement ce morceau ; « braised » n'est pas un modificateur, la forme complète rate.
