# alias	slug	raison
# ── P1 · LES 15 LIGNES SANS AUCUN ALIAS — le trou est FRANÇAIS, pas anglais ──
pain naan	naan_bread	Le nom français du pain naan. « naan bread » atteint la ligne par son slug ; aucune forme française ne l'atteint.
naan	naan_bread	Forme nue, écrite dans les deux langues. Rate aujourd'hui : le slug est `naan_bread`, la réduction ne coupe pas « bread ».
sauce piquante	hot_sauce	Nom français usuel de la sauce piquante au piment. Le libellé « Hot sauce (chilli) » nomme exactement cet objet.
sauce pimentee	hot_sauce	Seconde formulation française courante, même objet.
chilli sauce	hot_sauce	Forme anglaise courante absente : seul « hot sauce » atteint la ligne.
graines melangees	mixed_seeds	Traduction directe de « Mixed seeds ». Aucune forme française n'atteint la ligne.
melange de graines	mixed_seeds	Seconde formulation française du même produit de rayon.
seed mix	mixed_seeds	Forme anglaise courante absente.
graines de pavot	poppy_seeds	Traduction directe de « Poppy seeds ». Aucune forme française.
curcuma	turmeric	Nom français du curcuma. « Turmeric, ground » est la même épice ; le corpus l'écrit 6 fois en anglais.
curcuma moulu	turmeric	Le libellé dit « ground » : la forme française qualifiée doit atteindre la même ligne.
puree de graines de tournesol	sunflower_seed_butter	Nom français du produit ; « Sunflower seed butter » n'a aucune forme française.
beurre de graines de tournesol	sunflower_seed_butter	Calque français courant sur les étiquettes, même produit.
pate de campagne	pate	Le libellé est « Paté (average) » : la moyenne des pâtés couvre le pâté de campagne.
pate de foie	pate	Même ligne de moyenne, autre formulation française courante.
liver pate	pate	Forme anglaise courante absente : seul « pate » nu atteint la ligne.
loaf of bread	bread	« Bread (average) » est la ligne générique ; « loaf » n'y mène pas.
bread loaf	bread	Forme écrite telle quelle dans les listes de courses du corpus (« white bread loaf », « bread loaf »).
# ── P2 · CE QUI RATE DANS LES PLANS RÉELS (occurrences mesurées) ──
braised beef	beef_braising	11 occurrences. La ligne « Braising beef » est exactement ce morceau ; « braised » n'est pas un modificateur, la forme complète rate.
chicken thigh meat	chicken_thigh	10 occurrences via « cooked chicken thigh meat ». « meat » n'est pas un modificateur ; la tête reste hors index.
chicken thigh fillets	chicken_thigh	Même coupe, formulation de rayon britannique ; rate aujourd'hui.
lamb mince	lamb	4 occurrences. Aucune ligne d'agneau haché n'existe ; « Lamb » (128 kcal, cru) est la ligne honnête pour de l'agneau haché cru.
tuna tins	tuna_tinned	5 occurrences. Désigne le thon en conserve ; le conditionnement ne change pas l'aliment.
tuna cans	tuna_tinned	1 occurrence, même objet, orthographe américaine.
italian herbs	dried_herbs	2 occurrences. « Dried mixed herbs » est la ligne de mélange d'herbes sèches.
crackers	wheat_crackers	1 occurrence nue. « Wheat crackers » est la seule ligne de cracker du référentiel.
mixed greens	lettuce	2 occurrences. « mixed salad leaves » atteint déjà `lettuce` 68 fois : même objet, autre formulation.
mixed salad greens	lettuce	2 occurrences, formulation américaine de la même chose.
lettuce leaves	lettuce	2 occurrences. Les feuilles de laitue sont de la laitue.
salad greens	lettuce	Formulation courante du même produit de rayon.
pommes de terre nouvelles	potato	1 occurrence, dans le seul plan français du corpus. « new potatoes » atteint déjà `potato` 60 fois.
# ── P3 · LE NOM FRANÇAIS DES ALIMENTS QUE LE PRODUIT CUISINE VRAIMENT ──
melange de legumes	mixed_vegetables	Nom français de « Mixed vegetables, frozen, raw ». Aucune forme française n'atteint la ligne.
pain blanc	white_bread	Traduction directe de « White bread ».
herbes sechees	dried_herbs	Traduction directe de « Dried mixed herbs ».
herbes seches	dried_herbs	Variante d'accord, très fréquemment écrite.
cube de bouillon	stock_cube	Nom français du cube de bouillon ; le libellé « Stock » (240 kcal) est bien le cube déshydraté.
tortilla de mais	corn_tortilla_wrap_be	Traduction directe de « Corn tortilla wrap, to be filled ».
tortillas de mais	corn_tortilla_wrap_be	Le pluriel français ne se dérive pas ici (le -s tombe mais « tortilla de mais » n'existe pas encore).
aneth	herbs_dill	Nom français de l'aneth. « dill » atteint la ligne, « aneth » n'atteint rien.
